censusinfo,,,,,,,,,,,,,,,
Fresno_Census_Tracts,,,,,,,,,,,,,,,
GEOID,NAME,evacuation1,evacuation2,evacuation3,evacuation4,evacuation5,evacuation6,evacuation7,evacuation8,evacuation9,evacuation10,evacuation11,evacuation12,evacuation13,evacuation14
6019000100,"Census Tract 1, Fresno County, California",,,,,,,,,,,,,,
6019000200,"Census Tract 2, Fresno County, California",,,,,,,,,,,,,,
6019000300,"Census Tract 3, Fresno County, California",,,,,,,,,,,,,,
6019000400,"Census Tract 4, Fresno County, California",,,,,,,,,,,,,,
6019000501,"Census Tract 5.01, Fresno County, California",,,,,,,,,,,,,,
6019000502,"Census Tract 5.02, Fresno County, California",,,,,,,,,,,,,,
6019000600,"Census Tract 6, Fresno County, California",,,,,,,,,,,,,,
6019000700,"Census Tract 7, Fresno County, California",,,,,,,,,,,,,,
6019000800,"Census Tract 8, Fresno County, California",,,,,,,,,,,,,,
6019000901,"Census Tract 9.01, Fresno County, California",,,,,,,,,,,,,,
6019000902,"Census Tract 9.02, Fresno County, California",,,,,,,,,,,,,,
6019001000,"Census Tract 10, Fresno County, California",,,,,,,,,,,,,,
6019001100,"Census Tract 11, Fresno County, California",,,,,,,,,,,,,,
6019001201,"Census Tract 12.01, Fresno County, California",,,,,,,,,,,,,,
6019001202,"Census Tract 12.02, Fresno County, California",,,,,,,,,,,,,,
6019001301,"Census Tract 13.01, Fresno County, California",,,,,,,,,,,,,,
6019001303,"Census Tract 13.03, Fresno County, California",,,,,,,,,,,,,,
6019001304,"Census Tract 13.04, Fresno County, California",,,,,,,,,,,,,,
6019001407,"Census Tract 14.07, Fresno County, California",,,,,,,,,,,,,,
6019001408,"Census Tract 14.08, Fresno County, California",,,,,,,,,,,,,,
6019001409,"Census Tract 14.09, Fresno County, California",,,,,,,,,,,,,,
6019001410,"Census Tract 14.10, Fresno County, California",,,,,,,,,,,,,,
6019001411,"Census Tract 14.11, Fresno County, California",,,,,,,,,,,,,,
6019001412,"Census Tract 14.12, Fresno County, California",,,,,,,,,,,,,,
6019001413,"Census Tract 14.13, Fresno County, California",,,,,,,,,,,,,,
6019001414,"Census Tract 14.14, Fresno County, California",,,,,,,,,,,,,,
6019001500,"Census Tract 15, Fresno County, California",,,,,,,,,,,,,,
6019001600,"Census Tract 16, Fresno County, California",,,,,,,,,,,,,,
6019001700,"Census Tract 17, Fresno County, California",,,,,,,,,,,,,,
6019001800,"Census Tract 18, Fresno County, California",,,,,,,,,,,,,,
6019001900,"Census Tract 19, Fresno County, California",,,,,,,,,,,,,,
6019002000,"Census Tract 20, Fresno County, California",,,,,,,,,,,,,,
6019002100,"Census Tract 21, Fresno County, California",,,,,,,,,,,,,,
6019002200,"Census Tract 22, Fresno County, California",,,,,,,,,,,,,,
