,GEOID,NAME,evacuation1,evacuation2,evacuation3,evacuation4,evacuation5,evacuation6,evacuation7,evacuation8,evacuation9,evacuation10,evacuation11,evacuation12,evacuation13,evacuation14,evacuation15,evacuation16,evacuation17,evacuation18,evacuation19,evacuation20,evacuation21,evacuation22,evacuation23,evacuation24,evacuation25,evacuation26,evacuation27,evacuation28,evacuation29
1,6097150100,"Census Tract 1501, Sonoma County, California",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6097150202,"Census Tract 1502.02, Sonoma County, California",51,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6097150203,"Census Tract 1502.03, Sonoma County, California",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6097150204,"Census Tract 1502.04, Sonoma County, California",51,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6097150303,"Census Tract 1503.03, Sonoma County, California",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6097150304,"Census Tract 1503.04, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6097150305,"Census Tract 1503.05, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6097150306,"Census Tract 1503.06, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6097150500,"Census Tract 1505, Sonoma County, California",24,25,58,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6097150601,"Census Tract 1506.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6097150602,"Census Tract 1506.02, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6097150603,"Census Tract 1506.03, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6097150607,"Census Tract 1506.07, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6097150609,"Census Tract 1506.09, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6097150610,"Census Tract 1506.10, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6097150611,"Census Tract 1506.11, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6097150612,"Census Tract 1506.12, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6097150701,"Census Tract 1507.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6097150702,"Census Tract 1507.02, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6097150800,"Census Tract 1508, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6097150901,"Census Tract 1509.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6097150902,"Census Tract 1509.02, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6097151000,"Census Tract 1510, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6097151100,"Census Tract 1511, Sonoma County, California",31,32,35,37,39,,,,,,,,,,,,,,,,,,,,,,,,
25,6097151201,"Census Tract 1512.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6097151203,"Census Tract 1512.03, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6097151204,"Census Tract 1512.04, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6097151301,"Census Tract 1513.01, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6097151305,"Census Tract 1513.05, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6097151306,"Census Tract 1513.06, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6097151307,"Census Tract 1513.07, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6097151308,"Census Tract 1513.08, Sonoma County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
