Evacuation.ID,FIRE_NAME,INC_NUM,start_day,evac_date_issue,Date of Release,county,GIS_ACRES,Sources,evacuation.order.type,Evacuated Region,,GEOIDS,,
1,LNU Lightning Complex,Not Found,8/17/20 6:40," August 18th, 2020 :: 12:54 p.m. PDT","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Warning ,"North of Austin Creek Recreational Area, East of Cedars, West of Mill Creek Road, and South of Stewarts Point-Skaggs Springs Road.",,"06097153704, 06097154000,  06097154304, ",,
2,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 03:12 p.m. ","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,"South of Stewarts Point-Skaggs Springs Road, North of Austin Creek, West of the intersection of Mill Creek Road at Puccioni Road and East of the Cedars",,"06097154304, 06097154000, 06097153704",,
3,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 04:04 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,"Meyers Grade Road to the Sonoma Coast, South of Fort Ross Road and north of the Intersection of Meyers Grade Road at Highway 1",,6097154303,,
4,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 06:25 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,"South of Stewarts Point Skaggs Springs Road, West of West Dry Creek Road and Westside Road, North of Sweetwater Springs Road and McCray Ridge Road, East of the East Austin Creek (the actual creek)",,"06097154304, 06097154000,06097153704 ",,
5,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 07:10 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,"Entire area Zone 1D (1D1, 1D2, 1D3, 1D4, 1D5)",,"06097154303, 06097154304, 06097153703, 06097153704, 06097153704, 06097153705",,
6,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 08:05 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,"Zones 1B3, 1C2",,"06097154304, 06097153703, 06097153704, 06097154000",,
7,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 18th, 2020 :: 09:04 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,Zone 2K1,,"06097154000, ",,
8,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 19th, 2020 :: 02:26 a.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Mandatory ,Area west of W Dry Creek Rd and South of Lake Sonoma.,,"06097154000, 06097154202, 06097154304",,
9,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 19th, 2020 :: 01:22 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Warning ,"Zones 1E3, 1E1, 4B1, 2K2",,"06097154304, 06097153703, 06097153703, 06097154302, 06097153705, 06097153801",,
10,LNU Lightning Complex,Not Found,8/17/20 6:40,"August 19th, 2020 :: 04:33 p.m.","September 9th, 2020 :: 04:01 p.m.","Napa, Sonoma, Lake, Yolo, Solano",363220,https://socoemergency.org/recover/walbridge-meyers-fire-recovery/walbridge-fire-evacuation-orders/,Warning ,Zone 1C1,,"06097154303, ",,
