FIRE_NAME,INC_NUM,AGENCY,UNIT_ID,YEAR,start_day,end_day,GIS_ACRES
COMANCHE,01127933,CCO,KRN,2011,2011-09-09,2011-09-16,25939.01171875
BRECKENRIDGE COMPLEX,01127969,CCO,KRN,2011,2011-09-09,2011-09-16,25223.412109375
LION,00002087,USF,SQF,2011,2011-07-07,2011-11-07,20681.5390625
CANYON,01127244,CCO,KRN,2011,2011-09-03,2011-09-09,14585.359375
EAGLE,00008019,CDF,MVU,2011,2011-07-20,2011-07-28,13992.9921875
REED,01127925,CCO,KRN,2011,2011-09-09,2011-09-10,5899.568359375
JOHN,00010475,CDF,BDU,2011,2011-09-12,2011-09-15,5799.84130859375
MOTOR,00002117,USF,SQF,2011,2011-08-24,2011-09-30,5230.33837890625
ANTELOPE,1117988,CCO,KRN,2011,2011-06-18,2011-06-20,5068.75341796875
NORTH,01127901,CCO,KRN,2011,2011-09-09,2011-09-10,3438.941162109375
QUINN,01118260,CCO,KRN,2011,2011-06-20,2011-06-20,3138.897216796875
INDIAN,01127902,CCO,KRN,2011,2011-09-09,2011-09-13,3068.71875
KNOB,01127930,CCO,KRN,2011,2011-09-09,2011-09-10,2709.76611328125
BLACK,01127912,CCO,KRN,2011,2011-09-09,2011-09-13,2577.5478515625
GREAT,00011019,CDF,MVU,2011,2011-09-30,2011-10-06,2133.961669921875
CATTLE,01128211,CCO,KRN,2011,2011-09-10,2011-09-10,2130.330810546875
ANNIE,00003546,BLM,NOD,2011,2011-08-17,2011-08-25,2075.77978515625
65,01129619,CCO,KRN,2011,2011-09-22,2011-09-23,2003.449951171875
COUGAR,00000002,USF,MDF,2011,2011-06-07,2011-09-04,1790.5611572265625
BAKER,01127910,CCO,KRN,2011,2011-09-09,2011-09-13,1711.3348388671875
WELLS,00000012,NPS,MNP,2011,2011-08-26,2011-09-08,1708.175048828125
SODA,00007086,CDF,SLU,2011,2011-09-02,2011-09-02,1533.4964599609375
RUTH,00001848,USF,SRF,2011,2011-09-22,2011-09-28,1457.1380615234375
SCORPION,00000003,USF,MDF,2011,2011-07-14,2011-09-04,1417.534912109375
MAMMOTH,00000005,USF,MDF,2011,2011-07-14,2011-09-04,1193.315673828125
HILL,00012829,USF,BDF,2011,2011-09-01,2011-09-01,1159.3251953125
STAGE,00000134,CDF,TUU,2011,2011-06-26,2011-06-26,1129.85498046875
MILTON,00007982,CDF,TCU,2011,2011-09-08,2011-09-08,1122.454833984375
COVE,00001234,USF,SQF,2011,2011-05-26,2011-06-01,1121.3729248046875
WILLOWS,00000046,USF,SQF,2011,2011-09-03,2011-09-11,1121.114501953125
AVALANCHE,00002558,NPS,YNP,2011,2011-07-29,2011-09-10,1068.115966796875
BUCKEYE,00000994,BLM,BBD,2011,2011-09-24,2011-10-01,1045.6090087890625
GILMAN,00071943,CDF,RRU,2011,2011-08-05,2011-08-06,1026.6387939453125
TAMARACK,00003619,NPS,YNP,2011,2011-09-12,2011-10-03,1014.1055908203125
